category,technique_name,description,best_for,facilitation_prompts
creative,Time Shifting,"Explore solutions across different time periods to reveal constraints and opportunities by asking 'How would this work in the past?' 'What about 100 years from now?' 'Different era constraints?' and 'What time-based solutions apply?'","Revealing hidden constraints; exploring future possibilities; historical perspective","How would this have been solved 100 years ago? | What about 100 years from now — what changes? | If we had ancient technology only, how would we approach this? | What time-based solution exists that we're not seeing because of when we are?"
creative,Metaphor Mapping,"Use extended metaphors as thinking tools to explore problems from new angles - transforms abstract challenges into tangible narratives by asking 'This problem is like a metaphor,' extending the metaphor, and mapping elements to discover insights","Abstract problems; making intangible concepts concrete; exploring from new angles","This problem is like a [metaphor]. Extend it — what are the components? | If your challenge were a [system/natural phenomenon], how would it work? | Map the elements of your problem to [extended metaphor] — what insights emerge? | What metaphor captures what's really going on here?"
creative,Cross-Pollination,"Transfer solutions from completely different industries or domains to spark breakthrough innovations by asking how industry X would solve this, what patterns work in field Y, and how to adapt solutions from domain Z","Industry-spanning innovation; adapting proven patterns from other fields","How would [different industry] solve this problem? | What patterns work in [field Y] that we could adapt? | What solution from [domain Z] could we steal and apply here? | Which industry has the most to teach us about this challenge?"
creative,Concept Blending,"Merge two or more existing concepts to create entirely new categories - goes beyond simple combination to genuine innovation by asking what emerges when concepts merge, what new category is created, and how the blend transcends original ideas","Creating new categories; combining existing ideas into something novel","What emerges when [concept A] and [concept B] merge? | What new category is created by blending [X] with [Y]? | How would this blend transcend the original ideas? | Take your two best ideas so far — what happens when they fuse?"
creative,Reverse Brainstorming,"Generate problems instead of solutions to identify hidden opportunities and unexpected pathways by asking 'What could go wrong?' 'How could we make this fail?' and 'What problems could we create?' to reveal solution insights","Revealing hidden opportunities; identifying failure modes; when direct solutions are stuck","How could we guarantee this project fails? | What's the worst possible version of this solution? | What could go catastrophically wrong — and what does that teach us? | If we wanted to create problems, what would we do — and what's the inverse solution?"
creative,Sensory Exploration,"Engage all five senses to discover multi-dimensional solution spaces beyond purely analytical thinking by asking what ideas feel, smell, taste, or sound like, and how different senses engage with the problem space","Multi-sensory design; breaking purely analytical thinking; experiential products","What does this idea feel like? What's the texture? | If this solution had a sound, what would it be? | What does this experience taste like? Smell like? | How does engaging [specific sense] change the solution?"
deep,Five Whys,"Drill down through layers of causation to uncover root causes - essential for solving problems at source rather than symptoms by asking 'Why did this happen?' repeatedly until reaching fundamental drivers and ultimate causes","Root cause analysis; moving past symptoms; understanding fundamental drivers","Why does this problem exist? | Why did that happen? | Why is that the case? | Keep going — why does that underlying cause exist? | We're at root cause when the next 'why' stops revealing anything new."
deep,Morphological Analysis,"Systematically explore all possible parameter combinations for complex systems requiring comprehensive solution mapping - identify key parameters, list options for each, try different combinations, and identify emerging patterns","Complex systems; comprehensive solution mapping; exploring all parameter combinations","What are the key parameters of this problem? | For each parameter, what are the possible options? | What happens when we combine [option A] with [option B]? | Which combination has never been tried but might work?"
deep,Provocation Technique,"Use deliberately provocative statements to extract useful ideas from seemingly absurd starting points - catalyzes breakthrough thinking by asking 'What if provocative statement?' 'How could this be useful?' 'What idea triggers?' and 'Extract the principle'","Catalyzing breakthroughs; escaping conventional thinking; extracting principles from absurdity","Here's a provocation: [absurd statement]. How could this actually be useful? | What idea does this provocative statement trigger? | Extract the underlying principle — what's valid beneath the absurdity? | What if [extreme position] were true — what follows?"
deep,Assumption Reversal,"Challenge and flip core assumptions to rebuild from new foundations - essential for paradigm shifts by asking 'What assumptions are we making?' 'What if the opposite were true?' 'Challenge each assumption' and 'Rebuild from new assumptions'","Paradigm shifts; challenging foundational assumptions; rebuilding from scratch","What assumptions are we making about this problem? | Take each assumption — what if the opposite were true? | Challenge this specific assumption: [name it]. Does it hold? | Rebuild the solution from these new assumptions — what changes?"
deep,Question Storming,"Generate questions before seeking answers to properly define problem space - ensures solving the right problem by asking only questions, no answers yet, focusing on what we don't know, and identifying what we should be asking","Problem definition; ensuring you're solving the right problem; exploring unknowns","Generate only questions about this problem — no answers allowed yet. | What don't we know that we should know? | What question, if answered, would unlock everything else? | What should we be asking that nobody has asked?"
deep,Constraint Mapping,"Identify and visualize all constraints to find promising pathways around or through limitations - ask what all constraints exist, which are real vs imagined, and how to work around or eliminate barriers to solution space","Working within limitations; distinguishing real from imagined constraints; finding pathways","What are ALL the constraints on this problem? | Which constraints are real vs imagined? | How could we work around [specific constraint]? | Which constraint, if removed, would unlock the most possibility?"
deep,Failure Analysis,"Study successful failures to extract valuable insights and avoid common pitfalls - learns from what didn't work by asking what went wrong, why it failed, what lessons emerged, and how to apply failure wisdom to current challenges","Learning from past failures; avoiding known pitfalls; extracting lessons","What has failed in this space before? | Why did it fail — what was the root cause? | What lessons can we extract from that failure? | How do we apply that failure wisdom to our current challenge?"
deep,Emergent Thinking,"Allow solutions to emerge organically without forcing linear progression - embraces complexity and natural development by asking what patterns emerge, what wants to happen naturally, and what's trying to emerge from the system","Complex adaptive problems; organic solution development; systems thinking","What patterns are emerging from the ideas so far? | What wants to happen naturally here? | What's trying to emerge from this system that we haven't named yet? | Stop forcing — let the solution reveal itself. What do you notice?"
introspective_delight,Inner Child Conference,"Channel pure childhood curiosity and wonder to rekindle playful exploration - ask what 7-year-old you would ask, use 'why why why' questioning, make it fun again, and forbid boring thinking to access innocent questioning that cuts through adult complications","Rekindling playfulness; cutting through overcomplication; accessing innocent curiosity","What would 7-year-old you ask about this? | Why? Why? Why? — keep asking like a kid. | Make this fun again — what's the playful version? | No boring thinking allowed. What's the most wonder-filled question here?"
introspective_delight,Shadow Work Mining,"Explore what you're actively avoiding or resisting to uncover hidden insights - examine unconscious blocks and resistance patterns by asking what you're avoiding, where's resistance, what scares you, and mining the shadows for buried wisdom","Overcoming resistance; uncovering hidden blocks; exploring what's being avoided","What are you actively avoiding about this problem? | Where do you feel resistance — and what's underneath it? | What scares you about this solution? | What buried wisdom is in the thing you don't want to look at?"
introspective_delight,Values Archaeology,"Excavate deep personal values driving decisions to clarify authentic priorities - dig to bedrock motivations by asking what really matters, why you care, what's non-negotiable, and what core values guide your choices","Clarifying authentic priorities; understanding motivations; aligning solutions with values","What really matters to you about this? | Why do you care — what's underneath that? | What's non-negotiable here? | What core value is driving your preferences? | Does this solution align with what you actually value?"
introspective_delight,Future Self Interview,"Seek wisdom from wiser future self for long-term perspective - gain temporal self-mentoring by asking your 80-year-old self what they'd tell younger you, how future wisdom speaks, and what long-term perspective reveals","Long-term perspective; temporal self-mentoring; decisions with long-term consequences","Your 80-year-old self is here. What do they tell you? | What will matter about this decision in 10 years? | What would future you regret not considering? | How does your future self's perspective change this choice?"
introspective_delight,Body Wisdom Dialogue,"Let physical sensations and gut feelings guide ideation - tap somatic intelligence often ignored by mental approaches by asking what your body says, where you feel it, trusting tension, and following physical cues for embodied wisdom","Somatic intelligence; embodied decision-making; tapping physical intuition","What does your body say about this idea? | Where do you feel it — tension, openness, energy? | Trust that physical sensation — what is it telling you? | What does your gut say that your mind hasn't admitted yet?"
introspective_delight,Permission Giving,"Grant explicit permission to think impossible thoughts and break self-imposed creative barriers - give yourself permission to explore, try, experiment, and break free from limitations that constrain authentic creative expression","Breaking self-imposed limits; freeing creative expression; overcoming internal barriers","You have permission to think the impossible. What does that unlock? | What self-imposed rule can you break right now? | If nothing were off-limits, what would you try? | Give yourself permission to [specific thing you've been holding back] — what emerges?"
structured,SCAMPER Method,"Systematic creativity through seven lenses for methodical product improvement and innovation - Substitute (what could you substitute), Combine (what could you combine), Adapt (how could you adapt), Modify (what could you modify), Put to other uses, Eliminate, Reverse","Product improvement; systematic innovation; methodical exploration","Substitute: what could you swap out? | Combine: what two things could merge? | Adapt: what from elsewhere could you apply? | Modify: what could you change in size, shape, or form? | Put to other uses: what else could this do? | Eliminate: what can you remove? | Reverse: what could you flip or reorder?"
structured,Six Thinking Hats,"Explore problems through six distinct perspectives without conflict - White Hat (facts), Red Hat (emotions), Yellow Hat (benefits), Black Hat (risks), Green Hat (creativity), Blue Hat (process) to ensure comprehensive analysis from all angles","Comprehensive analysis; team alignment; ensuring all perspectives are covered","White Hat: what are the facts only? | Red Hat: what's your gut feeling? | Yellow Hat: what are the benefits? | Black Hat: what are the risks? | Green Hat: what's the creative angle? | Blue Hat: how should we think about this process itself?"
structured,Mind Mapping,"Visually branch ideas from central concept to discover connections and expand thinking - perfect for organizing complex thoughts and seeing big picture by putting main idea in center, branching concepts, and identifying sub-branches","Organizing complex thoughts; seeing connections; visual thinkers","What's the central concept? Put it in the center. | What are the main branches from here? | For each branch, what sub-branches emerge? | What connections appear between branches that weren't obvious before? | Where does the map reveal gaps?"
structured,Resource Constraints,"Generate innovative solutions by imposing extreme limitations - forces essential priorities and creative efficiency under pressure by asking what if you had only $1, no technology, one hour to solve, or minimal resources only","Forcing creativity through scarcity; identifying essentials; rapid problem-solving","What if you had only $1 to solve this? | What if you had no technology — none? | You have one hour and nothing else. Go. | What if you could only use what's in this room? | What's the absolute minimum needed to make this work?"
structured,Decision Tree Mapping,"Map out all possible decision paths and outcomes to reveal hidden opportunities and risks - visualizes complex choice architectures by identifying possible paths, decision points, and where different choices lead","Complex multi-stage decisions; revealing hidden paths; visualizing choice architectures","What are the first-level decisions here? | For each decision, what paths branch from it? | Where do different choices lead — trace each to its outcome. | What path has the best outcome we haven't considered? | Where does the tree reveal a path we've been ignoring?"
structured,Solution Matrix,"Create systematic grid of problem variables and solution approaches to find optimal combinations and discover gaps - identify key variables, solution approaches, test combinations, and identify most effective pairings","Finding optimal combinations; discovering solution gaps; systematic pairing","What are the key variables in this problem? | What solution approaches exist for each variable? | Create a grid — which combinations haven't we tested? | Which pairing looks most promising? | Where does the matrix reveal a gap nobody has filled?"
structured,Trait Transfer,"Borrow attributes from successful solutions in unrelated domains to enhance approach - systematically adapts winning characteristics by asking what traits make success X work, how to transfer these traits, and what they'd look like here","Adapting proven characteristics; borrowing from successful solutions; systematic trait transfer","What traits make [successful solution X] work? | How could we transfer [specific trait] to our problem? | What would that trait look like in our context? | Which successful solution has the most transferable traits for us?"
theatrical,Time Travel Talk Show,"Interview past/present/future selves for temporal wisdom - playful method for gaining perspective across different life stages by interviewing past self, asking what future you'd say, and exploring different timeline perspectives","Gaining temporal perspective; playful self-reflection; multi-timeline analysis","Welcome to the show. Past self — what would you tell current you? | Future self, 10 years ahead — what advice do you have? | If we took a different path 5 years ago, where would we be? | What does the timeline perspective reveal that we're missing?"
theatrical,Alien Anthropologist,"Examine familiar problems through completely foreign eyes - reveals hidden assumptions by adopting outsider's bewildered perspective by becoming alien observer, asking what seems strange, and getting outside perspective insights","Revealing hidden assumptions; defamiliarizing the familiar; outsider perspective","You're an alien anthropologist observing this problem for the first time. What seems strange? | What would a visitor from another planet find bizarre about how we approach this? | What assumptions would they question that we take for granted? | What does the outsider's bewilderment reveal about our blind spots?"
theatrical,Dream Fusion Laboratory,"Start with impossible fantasy solutions then reverse-engineer practical steps - makes ambitious thinking actionable through backwards design by dreaming impossible solutions, working backwards to reality, and identifying bridging steps","Bridging impossible to practical; ambitious thinking; backwards design","Describe the impossible fantasy solution — no limits. | Now work backwards: what would need to be true for this to work? | What's the bridge between fantasy and reality? | What practical step can we take today toward the impossible version?"
theatrical,Emotion Orchestra,"Let different emotions lead separate brainstorming sessions then harmonize - uses emotional intelligence for comprehensive perspective by exploring angry perspectives, joyful approaches, fearful considerations, hopeful solutions, then harmonizing all voices","Emotional intelligence; comprehensive perspective; integrating multiple emotional takes","Anger: what's wrong with this and what would you destroy? | Joy: what's beautiful about this and what would you celebrate? | Fear: what's risky and what are you afraid of? | Hope: what's possible and what would you build? | Now harmonize all four voices — what solution satisfies all of them?"
theatrical,Parallel Universe Cafe,"Explore solutions under alternative reality rules - breaks conventional thinking by changing fundamental assumptions about how things work by exploring different physics universes, alternative social norms, changed historical events, and reality rule variations","Breaking conventional thinking; exploring alternative rules; what-if scenarios at scale","In a universe where [fundamental rule] is different, how does this work? | If social norms were reversed, how would we solve this? | What if [historical event] went differently — how does that change our problem? | What reality rule could we change to unlock a new solution?"
theatrical,Persona Journey,"Embody different archetypes or personas to access diverse wisdom through character exploration - become the archetype, ask how persona would solve this, and explore what character sees that normal thinking misses","Archetypal thinking; accessing diverse wisdom through character; role-based exploration","You are now [archetype — e.g., the Trickster, the Sage, the Warrior]. How do you solve this? | What does [persona] see that your normal thinking misses? | Switch to [different archetype] — what changes? | Which persona's approach surprises you most?"
wild,Chaos Engineering,"Deliberately break things to discover robust solutions - builds anti-fragility by stress-testing ideas against worst-case scenarios by asking what if everything went wrong, breaking on purpose, how it fails gracefully, and building from rubble","Stress-testing ideas; building anti-fragility; discovering robust solutions through destruction","What if everything went wrong at once? | Break this on purpose — what fails first? | How does it fail — gracefully or catastrophically? | What can we build from the rubble that's stronger than before? | What does destroying this reveal about what actually matters?"
wild,Guerrilla Gardening Ideas,"Plant unexpected solutions in unlikely places - uses surprise and unconventional placement for stealth innovation by asking where's the least expected place, planting ideas secretly, growing solutions underground, and implementing with surprise","Stealth innovation; unconventional placement; surprising solutions","Where's the least expected place for this solution? | What if we planted this idea secretly and let it grow underground? | How could we implement this with maximum surprise? | What unlikely location would make this solution thrive?"
wild,Pirate Code Brainstorm,"Take what works from anywhere and remix without permission - encourages rule-bending rapid prototyping and maverick thinking by asking what pirates would steal, remixing without asking, taking best and running, and needing no permission","Rapid prototyping; rule-bending; remixing proven solutions without bureaucracy","What would pirates steal from [competitor/industry]? | Remix this without asking permission — what do you take? | Take the best idea from anywhere and run with it. What is it? | What rule is worth breaking to make this work faster?"
wild,Zombie Apocalypse Planning,"Design solutions for extreme survival scenarios - strips away all but essential functions to find core value by asking what happens when society collapses, what basics work, building from nothing, and thinking in survival mode","Stripping to essentials; survival-mode thinking; identifying core value","Society has collapsed. What's the survival version of your solution? | What basics still work when everything else fails? | Build from nothing — what do you actually need? | What does survival mode teach you about what's essential vs. nice-to-have?"
wild,Drunk History Retelling,"Explain complex ideas with uninhibited simplicity - removes overthinking barriers to find raw truth through simplified expression by explaining like you're tipsy, using no filter, sharing raw thoughts, and simplifying to absurdity","Removing overthinking; finding raw truth; radical simplification","Explain this like you're tipsy — no filter, no polish. | What's the raw, unedited version of this idea? | Strip all the complexity — what's the simple truth underneath? | If you had to explain this to someone who's had too many drinks, what do you say?"
wild,Anti-Solution,"Generate ways to make the problem worse or more interesting - reveals hidden assumptions through destructive creativity by asking how to sabotage this, what would make it fail spectacularly, and how to create more problems to find solution insights","Revealing hidden assumptions through destruction; creative sabotage; finding solutions via anti-solutions","How could you sabotage this completely? | What would make this fail spectacularly? | How could you create MORE problems — and what does each reveal? | What's the anti-solution, and what's its mirror image that actually works?"
wild,Quantum Superposition,"Hold multiple contradictory solutions simultaneously until best emerges through observation and testing - explores how all solutions could be true simultaneously, how contradictions coexist, and what happens when outcomes are observed","Holding contradictions; exploring paradoxical solutions; multi-state thinking","What if all these solutions were true simultaneously? | How can contradictory approaches coexist? | What happens when we observe which one actually works? | Which solution emerges when we stop forcing a single answer? | What does holding the paradox open reveal?"
wild,Elemental Forces,"Imagine solutions being sculpted by natural elements to tap into primal creative energies - explore how earth would sculpt this, what fire would forge, how water flows through this, and what air reveals to access elemental wisdom","Primal creative metaphors; elemental thinking; tapping natural forces for inspiration","Earth: how would the ground sculpt this solution — what's solid and foundational? | Fire: what would fire forge here — what's transformative and consuming? | Water: how does water flow through this — what's fluid and adaptive? | Air: what does the wind reveal — what's invisible but essential?"
biomimetic,Nature's Solutions,"Study how nature solves similar problems and adapt biological strategies to challenge - ask how nature would solve this, what ecosystems provide parallels, and what biological strategies apply to access 3.8 billion years of evolutionary wisdom","Biomimicry; adapting biological strategies; evolutionary wisdom","How does nature solve a problem like this? | What ecosystem provides a parallel to our challenge? | What biological strategy can we adapt? | 3.8 billion years of evolution — what has nature already figured out that we haven't?"
biomimetic,Ecosystem Thinking,"Analyze problem as ecosystem to identify symbiotic relationships, natural succession, and ecological principles - explore symbiotic relationships, natural succession application, and ecological principles for systems thinking","Systems thinking; symbiotic relationships; ecological analysis","What symbiotic relationships exist in this problem space? | How does natural succession apply — what grows after what? | What ecological principles are at work here? | If this problem were an ecosystem, what's the food chain? What's the keystone species?"
biomimetic,Evolutionary Pressure,"Apply evolutionary principles to gradually improve solutions through selective pressure and adaptation - ask how evolution would optimize this, what selective pressures apply, and how this adapts over time to harness natural selection wisdom","Iterative improvement; selective pressure; adaptation over time","How would evolution optimize this solution over time? | What selective pressures should we apply to kill weak ideas? | How does this solution adapt to changing conditions? | What mutation of this idea might survive better than the original?"
quantum,Observer Effect,"Recognize how observing and measuring solutions changes their behavior - uses quantum principles for innovation by asking how observing changes this, what measurement effects matter, and how to use observer effect advantageously","Understanding measurement impact; observation-driven innovation; meta-awareness of solutions","How does observing this solution change its behavior? | What measurement effects are we not accounting for? | How can we use the observer effect to our advantage? | What happens to this idea when nobody's watching vs. when it's being measured?"
quantum,Entanglement Thinking,"Explore how different solution elements might be connected regardless of distance - reveals hidden relationships by asking what elements are entangled, how distant parts affect each other, and what hidden connections exist between solution components","Revealing hidden connections; non-obvious dependencies; systems thinking at distance","What elements of this solution are entangled — connected regardless of distance? | How do distant parts of this system affect each other? | What hidden connection exists between [component A] and [component B] that nobody sees? | What changes here if we assume everything is connected to everything else?"
quantum,Superposition Collapse,"Hold multiple potential solutions simultaneously until constraints force single optimal outcome - leverages quantum decision theory by asking what if all options were possible, what constraints force collapse, and which solution emerges when observed","Decision-making under uncertainty; holding options open; constraint-driven convergence","What if all options were simultaneously possible? | What constraints will force the collapse to a single solution? | Which solution emerges when we finally observe the outcome? | What happens if we delay the collapse as long as possible — what becomes clear?"
cultural,Indigenous Wisdom,"Draw upon traditional knowledge systems and indigenous approaches overlooked by modern thinking - ask how specific cultures would approach this, what traditional knowledge applies, and what ancestral wisdom guides us to access overlooked problem-solving methods","Accessing overlooked knowledge; traditional approaches; non-Western perspectives","How would [specific culture] approach this problem? | What traditional knowledge system applies here? | What ancestral wisdom has been overlooked that could guide us? | What approach has been dismissed as 'primitive' that actually holds sophisticated wisdom?"
cultural,Fusion Cuisine,"Mix cultural approaches and perspectives like fusion cuisine - creates innovation through cultural cross-pollination by asking what happens when mixing culture A with culture B, what cultural hybrids emerge, and what fusion creates","Cultural cross-pollination; mixing perspectives; fusion innovation","What happens when we mix [culture A's approach] with [culture B's approach]? | What cultural hybrid emerges from this combination? | What fusion creates something neither culture had alone? | Which two cultural approaches, when combined, create something entirely new?"
cultural,Ritual Innovation,"Apply ritual design principles to create transformative experiences and solutions - uses anthropological insights for human-centered design by asking what ritual would transform this, how to make it ceremonial, and what transformation this needs","Human-centered design; transformative experiences; ceremonial solutions","What ritual would transform this experience? | How could we make this ceremonial — what marks the transition? | What transformation does this need, and what ritual creates it? | What anthropological insight about rituals applies to our design?"
cultural,Mythic Frameworks,"Use myths and archetypal stories as frameworks for understanding and solving problems - taps into collective unconscious by asking what myth parallels this, what archetypes are involved, and how mythic structure informs solution","Archetypal thinking; narrative frameworks; collective unconscious patterns","What myth parallels this problem? | What archetypes are involved — who's the hero, the trickster, the threshold guardian? | How does the mythic structure inform our solution? | What collective story are we unconsciously playing out, and should we change the script?"
